id;line_1;line_2;city;state;pincode;lat;lon;is_active;created_by;created_on;updated_by;updated_on
1;supposing madly annually;embody executor;New York;lobster while;6247;10799.14;15960.12;false;shyly resort soulful;2025-04-21T04:22:09;till;2025-04-20T13:11:35
2;knowledgeably;leading embossing;Lindgrentown;an;6980;18509.08;31972.27;false;gadzooks;2025-04-21T04:17:34;infatuated;2025-04-20T23:51:48
3;mortally lasting;yowza;West Angelaburgh;boo per headline;18891;3054.85;13343.05;true;whose;2025-04-20T23:31:33;whenever;2025-04-20T19:38:06
4;selfish;upbeat inasmuch;Wisozkhaven;off shameful windy;20478;245.98;31865.65;false;incidentally;2025-04-20T11:49:02;versus longingly;2025-04-21T03:56:58
5;superior;though selfishly;East Darrin;instead;22294;1141.07;26398.62;false;eyeglasses knowledgeably;2025-04-20T11:44:04;treble retool edible;2025-04-20T08:42:07
6;wholly;beautifully furthermore;North Tyshawnton;aw blindly hydrolyse;9240;7118.64;20998.81;true;rarely perspire ack;2025-04-21T05:59:22;habit;2025-04-20T09:52:09
7;oof barring likely;roadway;Cotyworth;trustworthy;19093;14464.13;17820.83;false;why bouncy louse;2025-04-20T23:29:32;rigid;2025-04-20T20:30:50
8;revere;own;Fort Sedrickfield;hence extremely;14189;24962.57;1624.87;true;peninsula;2025-04-20T18:29:19;spork boiling onto;2025-04-20T23:52:10
9;woefully snarling;designation mmm athwart;Groverstead;elegantly nor;9460;16232.74;2299.82;true;now;2025-04-20T18:22:39;out actually above;2025-04-20T15:13:35
10;wolf;plump regularly;Haleyville;what;4603;20279.12;31843.47;true;pull or;2025-04-20T14:47:36;oof hmph;2025-04-21T05:46:21
