id;type;floor;room_no;daily_rate;is_insurance_covered;is_active;created_by;created_on;updated_by;updated_on
1;DoubleRoom;15359;3137;30409.45;true;true;knowingly versus aha;2025-04-21T03:37:23;offset which prohibition;2025-04-20T08:05:39
2;GeneralBed;27629;9950;2615.41;true;false;axe;2025-04-21T03:13:45;swing before phew;2025-04-20T11:44:17
3;Supirior;2987;11645;26216.66;true;false;hence;2025-04-20T08:47:02;palatable sans;2025-04-20T17:23:37
4;GeneralBed;17858;8805;10466.07;false;false;yet;2025-04-20T15:49:20;dispose digestive;2025-04-20T07:53:31
5;Supirior;29435;23369;13315.46;true;true;kookily offend uh-huh;2025-04-21T04:50:44;provided whoever spherical;2025-04-20T09:36:31
6;Emergency;25949;3151;14735.98;true;false;uh-huh where;2025-04-20T09:06:59;till ugh unto;2025-04-21T01:51:29
7;Supirior;28580;9823;10548.54;false;false;helpfully aha;2025-04-20T14:26:49;aw;2025-04-20T11:27:55
8;GeneralBed;29571;1039;14619.16;false;false;runway um;2025-04-21T06:53:49;till impact;2025-04-20T07:37:41
9;GeneralBed;20144;18918;4754.86;true;false;finding at faithfully;2025-04-20T10:49:43;in frenetically pro;2025-04-20T23:37:31
10;Emergency;30252;16972;1004.27;true;false;quarrelsomely whose tame;2025-04-20T19:51:07;lest including;2025-04-20T13:26:57
