id;name;phone;is_active;created_by;created_on;updated_by;updated_on
1;boo indeed;9905;true;ill-fated or yowza;2025-04-20T11:19:50;before handy masterpiece;2025-04-20T20:36:41
2;ravioli;30020;true;furthermore and;2025-04-20T14:55:19;short-term personal exploration;2025-04-20T11:06:24
3;hold;32741;true;why doing meatloaf;2025-04-21T04:14:16;behind aw verbally;2025-04-21T02:56:21
4;muddy;25741;true;cellar stable rewrite;2025-04-20T12:45:12;impossible safely;2025-04-20T14:51:54
5;disappointment until;4430;true;dead mmm;2025-04-20T23:54:55;govern;2025-04-20T21:30:25
6;overload underachieve;12237;true;minus closely suspiciously;2025-04-21T04:21:54;well-groomed;2025-04-20T09:51:46
7;cap pension;9493;true;now ew intent;2025-04-20T19:39:32;upright;2025-04-20T07:42:44
8;sizzling inconsequential per;30306;false;as;2025-04-21T04:34:50;vanadyl hm;2025-04-20T21:03:47
9;brr;7234;true;vaguely;2025-04-20T12:25:12;intensely;2025-04-21T03:26:40
10;after;1334;false;energetic lively;2025-04-20T12:03:37;when fuzzy hydrolyze;2025-04-21T05:13:42
