id;name;logo_path;is_active;created_by;created_on;updated_by;updated_on
1;by;painfully;false;who coordination;2025-04-21T02:03:20;aircraft;2025-04-21T01:42:01
2;till ameliorate moralise;considering lovingly;true;motionless;2025-04-20T13:48:05;unless;2025-04-20T21:22:37
3;awesome since hunger;lazily;true;limply;2025-04-20T19:04:01;educated;2025-04-21T05:15:48
4;putrid quicker;futon gymnast passionate;true;zowie bitter mummify;2025-04-20T09:25:46;meanwhile mixture;2025-04-21T04:01:49
5;indeed impact obnoxiously;gadzooks;true;yearly sidetrack;2025-04-20T21:09:26;blowgun;2025-04-20T11:01:32
6;house commemorate um;duh sinful;false;onto even;2025-04-21T00:41:17;sneaky;2025-04-20T17:30:13
7;agreement however;violin soon;true;er through;2025-04-20T10:20:36;yahoo strictly;2025-04-20T15:19:33
8;courageously;patiently information woot;false;brr giggle self-assured;2025-04-21T01:16:06;plugin;2025-04-21T02:29:12
9;refer inwardly;duh toward into;true;through concerning phew;2025-04-21T00:00:38;certification;2025-04-20T23:57:05
10;glorious that;account govern;true;until merrily against;2025-04-21T03:45:35;wasteful knavishly ick;2025-04-20T22:00:34
