id;time;description;fee;is_covered_by_insurance;is_active;created_by;created_on;updated_by;updated_on
1;2025-04-20T08:33:37;broadly whereas;31761.5;false;false;youthful regarding;2025-04-20T23:26:05;ick;2025-04-20T21:41:01
2;2025-04-21T04:44:33;brown yuck;15699.85;false;false;redesign thorough;2025-04-21T06:28:14;broadly destock too;2025-04-20T15:29:43
3;2025-04-21T04:23:09;adjudge or;5446.07;true;false;sailor international equally;2025-04-20T18:31:40;once quinoa;2025-04-20T10:25:15
4;2025-04-21T05:29:38;ack mundane;31991.64;true;false;providence ack psst;2025-04-20T20:08:30;pixellate;2025-04-21T02:14:35
5;2025-04-20T18:15:01;pish;4613.12;true;true;ravel;2025-04-20T18:51:55;instance scarily grandpa;2025-04-20T12:36:57
6;2025-04-21T01:42:26;as memorise;19570.48;false;true;astride;2025-04-20T22:36:49;book grade whenever;2025-04-21T01:18:58
7;2025-04-20T14:39:03;hospitalization;23661.8;true;true;unexpectedly sans;2025-04-20T19:47:50;breed yuck;2025-04-20T22:51:51
8;2025-04-20T10:40:17;hm;12265.29;false;true;barring mothball;2025-04-21T03:45:25;oof;2025-04-20T23:52:36
9;2025-04-20T12:28:28;inventory plus;26957.21;true;true;gosh unlearn gadzooks;2025-04-20T12:06:14;meanwhile now quickly;2025-04-20T22:48:50
10;2025-04-21T01:39:36;disrespect;7281.49;true;false;travel;2025-04-21T00:01:12;cannon;2025-04-20T11:56:03
