id;name;generic_molecule;is_prescription_needed;description;mrp;is_insurance_covered;type;is_consumable;is_returnable;is_active;created_by;created_on;updated_by;updated_on
1;indolent kosher whoa;courteous whoever ouch;true;bewail equally;24410.72;false;Other;false;true;false;pastel;2025-04-21T01:01:02;incomparable wasabi smog;2025-04-21T04:32:04
2;a;eek;false;ah;9989.75;false;DressingMaterial;false;false;false;unless filter;2025-04-21T02:24:03;overheard partially plus;2025-04-20T10:59:39
3;since;allegation late thoroughly;false;whoa e-mail which;29877.77;true;Liquid;true;false;false;hm;2025-04-20T09:06:29;modulo impact;2025-04-21T04:42:07
4;bah merrily solution;abaft than truthfully;true;after neck whistle;21434.84;true;Instruments;true;false;true;cruelty daintily;2025-04-21T03:34:35;oh although institute;2025-04-20T16:15:45
5;consequently ick going;oof winged;false;um;28111.17;true;Capsul;true;true;true;cook correctly colour;2025-04-20T07:04:42;uncommon;2025-04-21T05:27:14
6;stay incidentally;boo because;false;scratchy;20166.1;false;Other;false;false;true;woefully;2025-04-21T04:09:35;upsell incline airbrush;2025-04-21T05:12:00
7;inside;down if;true;usually;10783.75;false;Capsul;true;true;true;briefly;2025-04-20T12:45:45;despite;2025-04-20T18:04:02
8;uh-huh minus;circumnavigate;false;apud astride;11628.51;false;Instruments;false;false;false;creamy;2025-04-20T10:14:22;madly;2025-04-20T08:02:29
9;impressive;reprove as;false;yet utter times;25624.63;true;Tablet;true;true;true;energetic;2025-04-21T05:33:44;even bleak;2025-04-21T00:07:38
10;recklessly woot bah;seemingly amidst;false;bah hollow advancement;22035.1;true;Capsul;false;true;true;foolishly;2025-04-20T07:42:07;remark culminate ha;2025-04-21T01:11:17
