id;batch_no;expiry_date;quantity;selling_price;storage_location;rack_no;is_active;created_by;created_on;updated_by;updated_on
1;knife queasily extricate;2025-04-21;26947;21112.85;crossly;excepting lay plumber;true;terraform;2025-04-20T17:25:34;how essay regal;2025-04-20T10:45:06
2;torn decision ordinary;2025-04-20;23809;8783.88;shyly pilot;not;false;ha jut;2025-04-20T21:38:05;yippee;2025-04-21T01:02:55
3;connect;2025-04-20;4080;4188.77;bandwidth;quick;false;gah;2025-04-20T19:32:14;with;2025-04-20T17:23:47
4;aha inasmuch oh;2025-04-20;31572;7893.69;whose pinstripe foodstuffs;which abnormally;true;whereas;2025-04-20T09:29:26;across;2025-04-20T09:33:17
5;without;2025-04-21;5008;31348.98;woot while crossly;whereas;false;enthusiastically huzzah;2025-04-20T12:30:21;geez;2025-04-21T01:29:27
6;instantly;2025-04-21;22858;18273.84;petticoat;antelope though nervously;false;holster minister modulo;2025-04-20T22:46:22;excepting yet;2025-04-20T12:38:36
7;regarding;2025-04-20;22153;18179.76;clearly why why;thunderbolt;true;vet bind;2025-04-21T01:07:32;official whoa where;2025-04-21T04:18:01
8;small finally;2025-04-21;18217;29873.98;orchestrate inside bathrobe;pish whether;true;outside apropos;2025-04-20T09:02:24;tempting;2025-04-20T14:00:46
9;unbearably yum search;2025-04-20;32137;5490.57;able;blah ha;true;mismatch unkempt;2025-04-20T14:12:16;against;2025-04-20T16:24:18
10;positively;2025-04-20;22466;29578.8;nerve;mystify;true;while;2025-04-20T16:06:12;birdcage necessary;2025-04-21T02:24:31
