id;name;is_active;created_by;created_on;updated_by;updated_on
1;inculcate hyena whose;false;who;2025-04-21T03:47:40;elegantly;2025-04-20T20:48:32
2;sedately;true;seemingly yowza pace;2025-04-20T10:33:51;pile;2025-04-20T21:03:58
3;what;false;thump round grass;2025-04-20T20:58:11;omelet save woeful;2025-04-21T02:31:25
4;an;true;above thankfully;2025-04-21T03:46:44;zowie commemorate;2025-04-20T10:41:13
5;suspiciously inasmuch atop;false;huzzah throughout;2025-04-20T13:28:58;yahoo bah sideboard;2025-04-21T04:45:43
6;yum anenst than;false;stranger;2025-04-20T14:45:24;final;2025-04-20T23:36:43
7;avow worthless mysteriously;false;glow phew colligate;2025-04-21T05:32:52;incidentally dowse;2025-04-21T05:42:27
8;surprisingly;true;stabilise;2025-04-20T09:37:55;very besmirch;2025-04-20T06:46:18
9;quarrelsomely rightfully possession;false;deflect;2025-04-20T17:57:09;accept witty;2025-04-20T14:52:24
10;limp unfit aw;false;rigidly;2025-04-20T10:21:24;total very;2025-04-21T05:52:19
