id;day;start_time_hour;start_time_min;end_time_hour;end_time_min;is_active;created_by;created_on;updated_by;updated_on
1;Wed;32534;8370;25310;643;false;schnitzel;2025-04-21T03:36:06;which fussy while;2025-04-20T08:01:07
2;Thu;245;19553;22595;1022;false;sheepishly;2025-04-21T02:56:06;why woot;2025-04-21T05:14:04
3;Wed;28557;7465;13371;3137;true;mythology wildly;2025-04-20T12:55:05;catalog triangular;2025-04-20T06:55:41
4;Thu;16602;26361;11440;8476;true;publicity across;2025-04-20T12:31:53;stark unless;2025-04-20T22:10:47
5;Sun;3242;8935;22674;13507;true;homeschool imaginary;2025-04-20T10:29:12;gray govern peter;2025-04-20T14:22:11
6;Wed;17428;12986;11811;18486;true;gadzooks;2025-04-20T08:04:57;that atop scorn;2025-04-21T05:44:18
7;Tue;18336;26731;10988;30529;false;ready because aha;2025-04-20T10:41:24;tangible;2025-04-20T12:58:58
8;Wed;27462;21213;26213;9601;false;availability with whistle;2025-04-20T19:39:10;sturdy handover or;2025-04-21T01:36:23
9;Mon;11549;31512;26085;1854;true;yowza between;2025-04-20T13:13:04;finally;2025-04-21T04:12:40
10;Thu;12435;22988;20849;30228;true;maintainer;2025-04-20T19:32:51;pfft until;2025-04-20T11:01:22
